Source;Target;Label;Weight;Type
1;2202;1;1;undirected
1;2203;3;0.333333333;undirected
1;2204;7;0.142857143;undirected
1;1750;9;0.111111111;undirected
1;2205;14;0.071428571;undirected
1;1062;11;0.090909091;undirected
2;2206;7;0.142857143;undirected
2;2107;12;0.083333333;undirected
2;2207;11;0.090909091;undirected
2;2208;11;0.090909091;undirected
2;2209;7;0.142857143;undirected
2;2210;12;0.083333333;undirected
3;1556;5;0.2;undirected
3;2211;12;0.083333333;undirected
3;2212;10;0.1;undirected
3;1147;10;0.1;undirected
3;1665;7;0.142857143;undirected
3;1484;4;0.25;undirected
4;1851;12;0.083333333;undirected
4;2176;5;0.2;undirected
4;1983;4;0.25;undirected
4;2213;5;0.2;undirected
4;1219;9;0.111111111;undirected
4;1475;13;0.076923077;undirected
6;1107;16;0.0625;undirected
6;2082;10;0.1;undirected
6;2214;3;0.333333333;undirected
6;2094;6;0.166666667;undirected
6;2215;17;0.058823529;undirected
6;1054;10;0.1;undirected
7;2216;6;0.166666667;undirected
7;1713;9;0.111111111;undirected
7;2217;8;0.125;undirected
7;2218;8;0.125;undirected
7;2219;11;0.090909091;undirected
7;2083;3;0.333333333;undirected
8;1262;16;0.0625;undirected
8;2220;9;0.111111111;undirected
8;1130;10;0.1;undirected
8;2221;8;0.125;undirected
8;2222;10;0.1;undirected
8;2223;11;0.090909091;undirected
9;1456;8;0.125;undirected
9;2224;6;0.166666667;undirected
9;1123;10;0.1;undirected
9;1421;9;0.111111111;undirected
9;1224;10;0.1;undirected
9;1624;6;0.166666667;undirected
10;1322;7;0.142857143;undirected
10;2225;6;0.166666667;undirected
10;2077;10;0.1;undirected
10;2226;8;0.125;undirected
10;2227;9;0.111111111;undirected
10;2228;9;0.111111111;undirected
11;1954;8;0.125;undirected
11;1227;8;0.125;undirected
11;1233;5;0.2;undirected
11;2229;8;0.125;undirected
11;1391;6;0.166666667;undirected
11;1986;14;0.071428571;undirected
13;2230;6;0.166666667;undirected
13;2231;8;0.125;undirected
13;2135;11;0.090909091;undirected
13;1664;6;0.166666667;undirected
13;2232;9;0.111111111;undirected
13;1958;4;0.25;undirected
14;2106;8;0.125;undirected
14;1896;11;0.090909091;undirected
14;1850;7;0.142857143;undirected
14;1334;12;0.083333333;undirected
14;1977;10;0.1;undirected
14;1690;10;0.1;undirected
15;2233;6;0.166666667;undirected
15;2234;9;0.111111111;undirected
15;2235;9;0.111111111;undirected
15;1035;13;0.076923077;undirected
15;2236;14;0.071428571;undirected
15;2237;8;0.125;undirected
16;1679;8;0.125;undirected
16;2238;7;0.142857143;undirected
16;2239;9;0.111111111;undirected
16;1719;6;0.166666667;undirected
16;2240;13;0.076923077;undirected
16;1633;8;0.125;undirected
17;1749;8;0.125;undirected
17;2241;9;0.111111111;undirected
17;2242;7;0.142857143;undirected
17;1353;8;0.125;undirected
17;2243;6;0.166666667;undirected
17;2244;9;0.111111111;undirected
18;1760;9;0.111111111;undirected
18;1636;8;0.125;undirected
18;1558;10;0.1;undirected
18;1731;9;0.111111111;undirected
18;1629;14;0.071428571;undirected
18;1201;12;0.083333333;undirected
19;2245;10;0.1;undirected
19;2246;15;0.066666667;undirected
19;2247;9;0.111111111;undirected
19;2248;7;0.142857143;undirected
19;1024;6;0.166666667;undirected
19;2249;7;0.142857143;undirected
20;2250;13;0.076923077;undirected
20;2251;6;0.166666667;undirected
20;2252;9;0.111111111;undirected
20;1468;8;0.125;undirected
20;2253;6;0.166666667;undirected
20;1486;6;0.166666667;undirected
21;2254;11;0.090909091;undirected
21;1716;12;0.083333333;undirected
21;1640;8;0.125;undirected
21;1603;9;0.111111111;undirected
21;1181;9;0.111111111;undirected
21;2255;6;0.166666667;undirected
23;2256;12;0.083333333;undirected
23;2257;14;0.071428571;undirected
23;1033;6;0.166666667;undirected
23;2258;9;0.111111111;undirected
23;2259;6;0.166666667;undirected
23;2260;14;0.071428571;undirected
24;1290;9;0.111111111;undirected
24;1296;10;0.1;undirected
24;1103;13;0.076923077;undirected
24;2261;7;0.142857143;undirected
24;2262;15;0.066666667;undirected
24;1848;10;0.1;undirected
25;1194;9;0.111111111;undirected
25;2263;6;0.166666667;undirected
25;2264;9;0.111111111;undirected
25;1590;11;0.090909091;undirected
25;2265;5;0.2;undirected
25;2266;9;0.111111111;undirected
26;2267;9;0.111111111;undirected
26;2268;7;0.142857143;undirected
26;1326;11;0.090909091;undirected
26;2269;8;0.125;undirected
26;1277;15;0.066666667;undirected
26;2270;13;0.076923077;undirected
27;2271;11;0.090909091;undirected
27;1524;4;0.25;undirected
27;1449;6;0.166666667;undirected
27;2272;9;0.111111111;undirected
27;1307;5;0.2;undirected
27;1280;5;0.2;undirected
28;2273;8;0.125;undirected
28;1140;6;0.166666667;undirected
28;2274;6;0.166666667;undirected
28;2275;4;0.25;undirected
28;2276;3;0.333333333;undirected
28;2277;11;0.090909091;undirected
31;1032;13;0.076923077;undirected
31;1093;12;0.083333333;undirected
31;1934;10;0.1;undirected
31;2278;6;0.166666667;undirected
31;2279;7;0.142857143;undirected
31;1387;12;0.083333333;undirected
32;2280;7;0.142857143;undirected
32;1870;8;0.125;undirected
32;1182;10;0.1;undirected
32;1893;12;0.083333333;undirected
32;1840;7;0.142857143;undirected
32;2281;5;0.2;undirected
33;2282;11;0.090909091;undirected
33;2283;9;0.111111111;undirected
33;2284;11;0.090909091;undirected
33;2285;4;0.25;undirected
33;2286;10;0.1;undirected
33;1444;9;0.111111111;undirected
34;2287;13;0.076923077;undirected
34;1562;6;0.166666667;undirected
34;2288;12;0.083333333;undirected
34;1104;8;0.125;undirected
34;2289;7;0.142857143;undirected
34;2290;12;0.083333333;undirected
36;2291;6;0.166666667;undirected
36;1533;5;0.2;undirected
36;2292;6;0.166666667;undirected
36;2293;10;0.1;undirected
36;2294;6;0.166666667;undirected
36;2295;11;0.090909091;undirected
37;2296;9;0.111111111;undirected
37;2297;5;0.2;undirected
37;2298;7;0.142857143;undirected
37;2299;9;0.111111111;undirected
37;2300;8;0.125;undirected
37;1511;11;0.090909091;undirected
38;2301;7;0.142857143;undirected
38;1826;8;0.125;undirected
38;1610;7;0.142857143;undirected
38;1383;10;0.1;undirected
38;2302;6;0.166666667;undirected
38;1034;10;0.1;undirected
39;1187;8;0.125;undirected
39;2303;8;0.125;undirected
39;2304;6;0.166666667;undirected
39;2305;10;0.1;undirected
39;1527;7;0.142857143;undirected
39;2155;6;0.166666667;undirected
40;2306;9;0.111111111;undirected
40;2307;7;0.142857143;undirected
40;1579;10;0.1;undirected
40;2308;8;0.125;undirected
40;1101;4;0.25;undirected
40;2100;10;0.1;undirected
41;1234;14;0.071428571;undirected
41;1362;11;0.090909091;undirected
41;1759;5;0.2;undirected
41;2309;6;0.166666667;undirected
41;2026;8;0.125;undirected
41;1169;12;0.083333333;undirected
42;1621;11;0.090909091;undirected
42;2002;13;0.076923077;undirected
42;2310;4;0.25;undirected
42;2311;6;0.166666667;undirected
42;1576;8;0.125;undirected
42;1561;7;0.142857143;undirected
43;2065;7;0.142857143;undirected
43;2312;9;0.111111111;undirected
43;1213;12;0.083333333;undirected
43;2147;12;0.083333333;undirected
43;2313;10;0.1;undirected
43;2092;7;0.142857143;undirected
44;1436;8;0.125;undirected
44;2314;9;0.111111111;undirected
44;2315;8;0.125;undirected
44;2316;9;0.111111111;undirected
44;2317;9;0.111111111;undirected
44;2318;9;0.111111111;undirected
47;2319;8;0.125;undirected
47;1905;4;0.25;undirected
47;2320;12;0.083333333;undirected
47;2321;7;0.142857143;undirected
47;2322;5;0.2;undirected
47;2323;7;0.142857143;undirected
48;2324;13;0.076923077;undirected
48;2325;7;0.142857143;undirected
48;1128;9;0.111111111;undirected
48;2020;10;0.1;undirected
48;1070;15;0.066666667;undirected
48;2163;6;0.166666667;undirected
49;2326;7;0.142857143;undirected
49;2327;7;0.142857143;undirected
49;2021;14;0.071428571;undirected
49;1208;8;0.125;undirected
49;1841;7;0.142857143;undirected
49;1588;6;0.166666667;undirected
50;1019;12;0.083333333;undirected
50;2328;4;0.25;undirected
50;2329;11;0.090909091;undirected
50;2078;7;0.142857143;undirected
50;2330;7;0.142857143;undirected
50;1899;6;0.166666667;undirected
52;2331;8;0.125;undirected
52;2332;9;0.111111111;undirected
52;2053;5;0.2;undirected
52;2333;5;0.2;undirected
52;1767;8;0.125;undirected
52;2334;9;0.111111111;undirected
53;2335;9;0.111111111;undirected
53;1594;4;0.25;undirected
53;2336;11;0.090909091;undirected
53;2337;10;0.1;undirected
53;2338;11;0.090909091;undirected
53;2339;6;0.166666667;undirected
56;1017;9;0.111111111;undirected
56;1274;13;0.076923077;undirected
56;1786;4;0.25;undirected
56;2101;10;0.1;undirected
56;2064;5;0.2;undirected
56;1606;8;0.125;undirected
57;1582;5;0.2;undirected
57;2340;3;0.333333333;undirected
57;2341;7;0.142857143;undirected
57;1547;5;0.2;undirected
57;2342;7;0.142857143;undirected
57;1075;8;0.125;undirected
58;2343;5;0.2;undirected
58;1867;7;0.142857143;undirected
58;2344;5;0.2;undirected
58;1859;4;0.25;undirected
58;2345;6;0.166666667;undirected
58;2156;12;0.083333333;undirected
59;1433;4;0.25;undirected
59;2346;8;0.125;undirected
59;2347;14;0.071428571;undirected
59;2010;7;0.142857143;undirected
59;2187;6;0.166666667;undirected
59;2348;12;0.083333333;undirected
60;2349;12;0.083333333;undirected
60;2350;9;0.111111111;undirected
60;1726;8;0.125;undirected
60;2351;10;0.1;undirected
60;2352;5;0.2;undirected
60;2353;14;0.071428571;undirected
61;2354;5;0.2;undirected
61;2355;7;0.142857143;undirected
61;2356;8;0.125;undirected
61;2357;7;0.142857143;undirected
61;1161;11;0.090909091;undirected
61;1498;6;0.166666667;undirected
62;2358;13;0.076923077;undirected
62;1264;8;0.125;undirected
62;2359;10;0.1;undirected
62;2360;9;0.111111111;undirected
62;2361;3;0.333333333;undirected
62;1451;5;0.2;undirected
63;2362;13;0.076923077;undirected
63;1712;6;0.166666667;undirected
63;1414;11;0.090909091;undirected
63;1980;6;0.166666667;undirected
63;1185;9;0.111111111;undirected
63;2363;11;0.090909091;undirected
65;1765;5;0.2;undirected
65;2364;11;0.090909091;undirected
65;2365;11;0.090909091;undirected
65;2366;8;0.125;undirected
65;2367;10;0.1;undirected
65;2368;9;0.111111111;undirected
66;2369;11;0.090909091;undirected
66;2370;9;0.111111111;undirected
66;2371;8;0.125;undirected
66;1038;11;0.090909091;undirected
66;2372;11;0.090909091;undirected
66;1549;6;0.166666667;undirected
67;1152;5;0.2;undirected
67;1453;10;0.1;undirected
67;2373;9;0.111111111;undirected
67;2374;7;0.142857143;undirected
67;1491;7;0.142857143;undirected
67;1126;6;0.166666667;undirected
68;1112;6;0.166666667;undirected
68;1779;12;0.083333333;undirected
68;1946;6;0.166666667;undirected
68;1907;6;0.166666667;undirected
68;2375;6;0.166666667;undirected
68;2146;7;0.142857143;undirected
69;2376;10;0.1;undirected
69;1051;7;0.142857143;undirected
69;1505;10;0.1;undirected
69;2377;7;0.142857143;undirected
69;2378;8;0.125;undirected
69;2379;7;0.142857143;undirected
70;1450;11;0.090909091;undirected
70;1376;10;0.1;undirected
70;2006;9;0.111111111;undirected
70;2380;12;0.083333333;undirected
70;1176;11;0.090909091;undirected
70;1995;15;0.066666667;undirected
71;1094;9;0.111111111;undirected
71;1887;11;0.090909091;undirected
71;2381;12;0.083333333;undirected
71;1653;11;0.090909091;undirected
71;2382;6;0.166666667;undirected
71;1174;9;0.111111111;undirected
73;1985;8;0.125;undirected
73;1661;14;0.071428571;undirected
73;1879;9;0.111111111;undirected
73;1886;12;0.083333333;undirected
73;2162;11;0.090909091;undirected
73;1920;9;0.111111111;undirected
74;1299;4;0.25;undirected
74;1532;7;0.142857143;undirected
74;1904;7;0.142857143;undirected
74;1608;5;0.2;undirected
74;2383;12;0.083333333;undirected
74;1796;6;0.166666667;undirected
75;2384;6;0.166666667;undirected
75;1261;6;0.166666667;undirected
75;2385;15;0.066666667;undirected
75;1401;9;0.111111111;undirected
75;1331;9;0.111111111;undirected
75;1894;9;0.111111111;undirected
76;1202;10;0.1;undirected
76;2386;11;0.090909091;undirected
76;2387;9;0.111111111;undirected
76;1761;9;0.111111111;undirected
76;2388;5;0.2;undirected
76;2389;12;0.083333333;undirected
77;2390;5;0.2;undirected
77;2096;14;0.071428571;undirected
77;1725;7;0.142857143;undirected
77;1217;14;0.071428571;undirected
77;2391;6;0.166666667;undirected
77;1167;9;0.111111111;undirected
78;2392;8;0.125;undirected
78;2393;8;0.125;undirected
78;2394;12;0.083333333;undirected
78;2395;9;0.111111111;undirected
78;1696;4;0.25;undirected
78;2396;5;0.2;undirected
79;2397;8;0.125;undirected
79;2398;9;0.111111111;undirected
79;2399;4;0.25;undirected
79;1248;8;0.125;undirected
79;2400;11;0.090909091;undirected
79;2401;5;0.2;undirected
80;2402;4;0.25;undirected
80;2403;10;0.1;undirected
80;1086;12;0.083333333;undirected
80;2404;7;0.142857143;undirected
80;2405;4;0.25;undirected
80;2406;5;0.2;undirected
82;2169;11;0.090909091;undirected
82;1563;7;0.142857143;undirected
82;2407;7;0.142857143;undirected
82;2408;7;0.142857143;undirected
82;1008;6;0.166666667;undirected
82;1978;7;0.142857143;undirected
84;2409;15;0.066666667;undirected
84;2410;8;0.125;undirected
84;1143;8;0.125;undirected
84;2411;5;0.2;undirected
84;2412;8;0.125;undirected
84;2413;7;0.142857143;undirected
85;1074;12;0.083333333;undirected
85;1828;10;0.1;undirected
85;1609;10;0.1;undirected
85;1824;6;0.166666667;undirected
85;2414;7;0.142857143;undirected
85;2415;10;0.1;undirected
86;1570;6;0.166666667;undirected
86;1415;7;0.142857143;undirected
86;2416;9;0.111111111;undirected
86;2417;8;0.125;undirected
86;1650;8;0.125;undirected
86;2102;11;0.090909091;undirected
87;2418;13;0.076923077;undirected
87;2419;14;0.071428571;undirected
87;1467;8;0.125;undirected
87;2420;10;0.1;undirected
87;2421;14;0.071428571;undirected
87;2422;8;0.125;undirected
88;2423;6;0.166666667;undirected
88;1447;10;0.1;undirected
88;1115;9;0.111111111;undirected
88;1068;10;0.1;undirected
88;1318;5;0.2;undirected
88;2424;7;0.142857143;undirected
89;1276;11;0.090909091;undirected
89;2425;8;0.125;undirected
89;2426;11;0.090909091;undirected
89;1311;5;0.2;undirected
89;2427;11;0.090909091;undirected
89;1027;7;0.142857143;undirected
91;2428;13;0.076923077;undirected
91;2429;7;0.142857143;undirected
91;1818;3;0.333333333;undirected
91;2430;12;0.083333333;undirected
91;2431;9;0.111111111;undirected
91;2432;9;0.111111111;undirected
93;2433;9;0.111111111;undirected
93;2434;15;0.066666667;undirected
93;1617;10;0.1;undirected
93;1036;11;0.090909091;undirected
93;1131;6;0.166666667;undirected
93;1398;14;0.071428571;undirected
94;2435;7;0.142857143;undirected
94;1445;6;0.166666667;undirected
94;2436;8;0.125;undirected
94;1372;6;0.166666667;undirected
94;2437;10;0.1;undirected
94;2438;14;0.071428571;undirected
95;1159;9;0.111111111;undirected
95;2439;9;0.111111111;undirected
95;2440;9;0.111111111;undirected
95;2441;11;0.090909091;undirected
95;2442;6;0.166666667;undirected
95;2443;9;0.111111111;undirected
97;2444;9;0.111111111;undirected
97;2445;8;0.125;undirected
97;1021;12;0.083333333;undirected
97;2446;10;0.1;undirected
97;2447;5;0.2;undirected
97;2448;9;0.111111111;undirected
98;2449;10;0.1;undirected
98;1149;5;0.2;undirected
98;2450;4;0.25;undirected
98;2451;9;0.111111111;undirected
98;2452;8;0.125;undirected
98;2453;9;0.111111111;undirected
100;2144;11;0.090909091;undirected
100;1442;5;0.2;undirected
100;1773;11;0.090909091;undirected
100;1811;7;0.142857143;undirected
100;1804;9;0.111111111;undirected
100;1976;9;0.111111111;undirected
101;1997;4;0.25;undirected
101;2454;7;0.142857143;undirected
